443240,Traditional,DECATUR EARTHMOVER C.U.,null,US,United States of America,credit,visa,38,-97,null
443242,Traditional,SOUND C.U.,null,US,United States of America,debit,visa,38,-97,null
443264,Traditional,U.S. BANK, N.A.,null,US,United States of America,debit,visa,38,-97,null
443411,Traditional,CUSCAL, LTD.,null,AU,Australia,debit,visa,-27,133,null
443420,Traditional,TEACHERS CREDIT UNION,null,AU,Australia,debit,visa,-27,133,null
443589,Traditional,COMMUNITY BANK N.A.,null,US,United States of America,debit,visa,38,-97,null
443628,Traditional,CARD SERVICES FOR CREDIT UNIONS, INC.,null,US,United States of America,credit,visa,38,-97,null
444703,Traditional,PNC BANK, DELAWARE,null,US,United States of America,debit,visa,38,-97,null
444796,Traditional,CREDIT ONE,null,US,United States of America,credit,visa,38,-97,null
444982,Traditional,NUCOR EMPLOYEE'S C.U.,null,US,United States of America,credit,visa,38,-97,null
445100,Traditional,FIRST TENNESSEE BANK, N.A.,null,US,United States of America,debit,visa,38,-97,null
445398,Traditional,PROFESSIONAL F.C.U.,null,US,United States of America,credit,visa,38,-97,null
445442,Traditional,null,null,AT,Austria,credit,visa,47.3333,13.3333,null
445470,Traditional,null,null,BE,Belgium,credit,visa,50.8333,4,null
445471,Traditional,BNP PARIBAS FORTIS,null,BE,Belgium,credit,visa,50.8333,4,null
445472,Gold,null,null,BE,Belgium,credit,visa,50.8333,4,null
446274,Traditional,LLOYDS TSB BANK PLC,null,GB,United Kingdom of Great Britain and Northern Ireland,debit,visa,54,-2,null
446278,Traditional,BANK OF SCOTLAND PLC,null,GB,United Kingdom of Great Britain and Northern Ireland,debit,visa,54,-2,null
446291,Traditional,HALIFAX,null,GB,United Kingdom of Great Britain and Northern Ireland,debit,visa,54,-2,null
446292,Traditional,BANK OF SCOTLAND,null,GB,United Kingdom of Great Britain and Northern Ireland,debit,visa,54,-2,null
446531,Traditional,FIVEPOINT F.C.U.,null,US,United States of America,debit,visa,38,-97,null
446539,Traditional,WELLS FARGO BANK NEVADA, N.A.,null,US,United States of America,credit,visa,38,-97,null
446540,Traditional,WELLS FARGO BANK NEVADA, N.A.,null,US,United States of America,credit,visa,38,-97,null
446542,Traditional,WELLS FARGO BANK NEVADA, N.A.,null,US,United States of America,credit,visa,38,-97,null
447057,Traditional,CALIFORNIA BANK AND TRUST,null,US,United States of America,credit,visa,38,-97,null
447596,Traditional,DEUTSCHER SPARKASSEN UND GIROVERBAND,null,DE,Germany,debit,visa,51,9,null
447619,Business,BANK OF AMERICA,null,US,United States of America,credit,visa,38,-97,null
447669,Traditional,TEXAS DOW EMPLOYEES C.U.,null,US,United States of America,debit,visa,38,-97,null
447803,Traditional,KOMERCIJALNA BANKA A.D. SKOPJE,null,MK,Macedonia (the former Yugoslav Republic of),credit,visa,41.8333,22,null
447995,Traditional,BRANCH BANKING AND TRUST COMPANY,null,US,United States of America,credit,visa,38,-97,null
448275,Traditional,TDBANK,null,US,United States of America,debit,visa,38,-97,null
448915,Signature,PNC BANK, NATIONAL ASSOCIATION - CONSUMER CREDIT,null,US,United States of America,credit,visa,38,-97,null
449090,Business,AMERIS BANK,null,US,United States of America,debit,visa,38,-97,null
449210,Traditional,ALASKA USA F.C.U.,null,US,United States of America,debit,visa,38,-97,null
